26,,,'de','1796525527','25-10-2021 11:54:02','25-10-2021 11:54:02',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,2,'de','193354921','25-10-2021 11:54:18','25-10-2021 13:14:45','A5','A5','A4','A5','A5','A5','A5','A3','A5','A4','A3','A3','A3','A4','A4','A4','A4','A4',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,'25-10-2021 12:02:51',5,'de','588798711','25-10-2021 11:54:52','25-10-2021 12:02:51','A5','A5','A5','A5','A5','A5','A5','A4','A4','A4','A4','A2','A2','A2','A2','A4','A3','A3','A2','A3','A4','A6','A5','A4','A4','A4','A3','A3','A4','A3','A5','A5','A5','A3','A6','A6','A6','A6','A5','A4','A4','A3',0,0,1,0,0,0,0,1,'Fachfrau Information + Dokumentation in einer Fachhochschulbibliothek','A7',,'A10',,'A4','A30',1,'Bei der Angabe des Geschlechts fehlt eindeutig die Auswahlmöglichkeit "divers"...'
29,,2,'de','252793448','25-10-2021 11:54:57','25-10-2021 12:04:02','A5','A5','A4','A4','A6','A5','A5','A5','A5','A4','A3','A2','A6','A6','A6','A3','A3','A3',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,'25-10-2021 12:01:43',5,'de','220324910','25-10-2021 11:55:37','25-10-2021 12:01:43','A5','A5','A5','A5','A5','A5','A5','A2','A2','A2','A2','A2','A2','A3','A2','A1','A1','A1','A1','A4','A1','A1','A1','A5','A1','A1','A1','A5','A1','A1','A1','A5','A1','A1','A1','A5','A1','A1','A1','A5','A1','A1',0,0,0,1,0,0,0,1,'Amazon FBA Trader , Stock Exchange Trader','A4',,'A1',,'A2','A49',2,'Die Frage ist macht es noch Sinn dies alles zu lernen wenn der Computer und AI und KI sowieso dies schneller kann als der Mensch'
31,,1,'de','1633240003','25-10-2021 11:55:50','25-10-2021 11:56:38','A6','A6','A6','A6','A6','A6','A6','A6','A6',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,2,'de','1930667715','25-10-2021 11:56:06','25-10-2021 11:57:49','A5','A4','A4','A5','A5','A5','A5','A4','A4','A4','A3','A4','A4','A4','A4','A5','A3','A3',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,'25-10-2021 12:04:27',5,'de','636029758','25-10-2021 11:57:43','25-10-2021 12:04:27','A4','A4','A5','A5','A2','A4','A5','A1','A1','A2','A2','A2','A2','A3','A3','A5','A1','A2','A5','A4','A5','A2','A3','A3','A6','A2','A3','A2','A2','A3','A3','A4','A4','A4','A3','A3','A3','A2','A2','A4','A2','A2',0,0,1,0,0,0,0,1,'Behinderten Betreuer, Kaufmann in Textilbranche','A6',,'A10',,'A2','A31',2,
34,,2,'de','2124473914','25-10-2021 11:57:57','25-10-2021 11:59:47','A4','A4','A5','A5','A4','A5','A4','A1','A1','A2','A2','A2','A2','A2','A2','A3','A1','A1',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,'25-10-2021 12:05:27',5,'de','2132927743','25-10-2021 11:59:42','25-10-2021 12:05:27','A5','A5','A5','A5','A5','A5','A5','A5','A5','A4','A4','A4','A4','A4','A4','A4','A4','A4','A5','A4','A5','A4','A5','A4','A5','A4','A5','A4','A5','A4','A5','A4','A5','A4','A5','A4','A5','A4','A5','A4','A5','A4',1,1,1,0,0,0,0,1,'Fachfrau Betreuung. Bibliotheksmitarbeiterin','A7',,'A10',,'A4','A30',1,
36,,,'de','1495439514','25-10-2021 12:02:00','25-10-2021 12:02:00',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,'de','2091676083','25-10-2021 12:05:02','25-10-2021 12:05:02',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,1,'de','2114106195','25-10-2021 12:05:20','25-10-2021 12:06:14','A5','A4','A5','A5','A5','A4','A5','A5','A4',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,1,'de','1705418573','25-10-2021 12:08:08','25-10-2021 12:10:12','A5','A2','A4','A4','A5','A6','A5','A1','A1',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,'de','506702384','25-10-2021 12:09:01','25-10-2021 12:09:01',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,'de','1134474511','25-10-2021 12:09:29','25-10-2021 12:09:29',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,'25-10-2021 12:55:21',5,'de','261787782','25-10-2021 12:11:33','25-10-2021 12:55:21','A5','A4','A5','A5','A5','A5','A5','A4','A4','A4','A4','A4','A5','A2','A4','A4','A3','A3','A3','A5','A5','A4','A5','A5','A5','A4','A6','A5','A5','A3','A5','A5','A5','A4','A5','A5','A5','A4','A4','A5','A5','A4',0,0,1,1,0,0,0,2,,,,'A5',,'A2','A26',1,
43,'25-10-2021 12:19:34',5,'de','1785672874','25-10-2021 12:13:20','25-10-2021 12:19:34','A4','A5','A3','A5','A5','A4','A5','A5','A5','A4','A3','A3','A4','A4','A3','A4','A3','A3','A5','A5','A5','A4','A5','A5','A5','A4','A5','A5','A5','A4','A4','A4','A4','A3','A4','A5','A5','A4','A3','A4','A5','A4',1,1,1,0,0,0,0,1,'Leitung Webentwicklung (Kundenbetreuung, Beratung, Konzeptentwicklung, Umsetzung im Webbereich)','A3',,'A8',,'A1','A25',1,
44,,,'de','1647245507','25-10-2021 12:17:21','25-10-2021 12:17:21',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,-1,'de','196829792','25-10-2021 12:17:52','25-10-2021 12:18:01',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,'25-10-2021 12:34:06',5,'de','403819418','25-10-2021 12:20:17','25-10-2021 12:34:06','A5','A5','A5','A5','A5','A4','A5','A3','A3','A3','A3','A3','A4','A4','A3','A5','A1','A1','A6','A6','A5','A1','A6','A6','A5','A1','A5','A3','A5','A4','A2','A3','A4','A3','A2','A4','A5','A3','A2','A3','A4','A3',0,0,0,1,0,0,0,1,'Informationsspezialistin','A3',,'A20',,'A2','A49',1,'Ich glaube, dass durch die Fragen zu Studenrichtung, Alter, Geschlecht, usw. durchaus eine Zuordnung zu einzelnen Personen möglich ist und die Anonymität eher nicht gewährleistet werden kann.'
47,'25-10-2021 12:35:26',5,'de','2139347416','25-10-2021 12:20:48','25-10-2021 12:35:26','A5','A5','A5','A5','A5','A5','A5','A5','A5','A4','A4','A4','A5','A4','A5','A4','A5','A5','A5','A5','A5','A4','A4','A4','A4','A4','A5','A5','A5','A4','A5','A5','A5','A4','A5','A5','A5','A4','A4','A4','A4','A3',0,0,0,1,0,0,0,1,'Vetriebs-/Managementassistetin der Geschäftsführung','A6',,'A18',,'A1','A26',1,
48,,2,'de','845424977','25-10-2021 12:20:51','25-10-2021 12:22:51','A5','A3','A5','A5','A4','A4','A5','A3','A5','A4','A2','A2','A3','A3','A1','A4','A1','A1',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,'en','1310452274','25-10-2021 12:21:25','25-10-2021 12:21:25',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,'de','2014564538','25-10-2021 12:21:44','25-10-2021 12:21:44',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,2,'de','1982332464','25-10-2021 12:23:34','25-10-2021 12:26:30','A4','A4','A4','A5','A4','A5','A5','A5','A5','A4','A3','A2','A3','A3','A3','A4','A2','A2',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
